New dataset
Velocidade | aceleração angular | Posição (RSS) | time | Posição real
0.0 | 0.036247835212471324 | [-0.6400866962380973, -0.5631764762731969] | 1672709011.6317592 | [-0.6297533512115479, -0.5523300766944885]
0.0 | 0.027204512726152392 | [-0.6607125801596645, -0.5848858137592616] | 1672709011.7726452 | [-0.6607125401496887, -0.5848859548568726]
0.0 | 0.05414796342322693 | [-0.6917263063535812, -0.6174680971957198] | 1672709011.9273024 | [-0.6917262673377991, -0.6174682378768921]
0.0 | 0.008645672798004931 | [-0.7226756749743979, -0.6500606037460819] | 1672709012.0669334 | [-0.7226759195327759, -0.6500602960586548]
0.0 | 0.0013891971159553874 | [-0.7536459428316102, -0.6826399212944385] | 1672709012.2205176 | [-0.7536460161209106, -0.6826398372650146]
0.0 | -0.01188854196231803 | [-0.7846770748308536, -0.7152584441937739] | 1672709012.3751042 | [-0.7846771478652954, -0.7152584195137024]
0.0 | 0.06461131782151326 | [-0.8156641470483321, -0.7478415772537466] | 1672709012.5159175 | [-0.8156639933586121, -0.7478417158126831]
0.0 | 0.031499948849017384 | [-0.8466591111318645, -0.7804377925682732] | 1672709012.6700163 | [-0.8466591835021973, -0.780437707901001]
0.0 | -0.03188701571091583 | [-0.8879691246670691, -0.8239058283859575] | 1672709012.826736 | [-0.8776459693908691, -0.8130508661270142]
0.0 | -0.0002486420264979722 | [-0.9086145810490742, -0.8456544739862638] | 1672709012.9816017 | [-0.9086147546768188, -0.8456541895866394]
0.0 | -0.011683176309265964 | [-0.9395994430364734, -0.8782428160038693] | 1672709013.121724 | [-0.9395995140075684, -0.8782427906990051]
0.0 | 0.015040461956901662 | [-0.970539480788678, -0.9107744140223836] | 1672709013.277964 | [-0.9705394506454468, -0.9107744097709656]
0.0 | -0.015006689083026662 | [-1.001511110286389, -0.9433736261357479] | 1672709013.4175963 | [-1.0015113353729248, -0.9433733224868774]
0.0 | -0.012267886441127777 | [-1.0325290465947403, -0.9759677303941174] | 1672709013.5711796 | [-1.0325291156768799, -0.9759677052497864]
0.0 | -0.016431548272621405 | [-1.0635271676562859, -1.0085559745921509] | 1672709013.723771 | [-1.06352698802948, -1.0085562467575073]
