2023-01-18 16:55:11,289 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:11,571 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:11,910 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:12,159 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:12,524 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:12,872 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:13,251 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:13,716 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:14,018 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:14,452 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:14,801 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:15,092 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:15,467 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:15,704 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:16,047 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:16,312 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:16,595 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:16,900 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:17,204 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:17,498 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:17,795 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:18,130 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:18,556 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:18,819 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:19,168 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:19,448 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:19,742 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:19,990 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:20,277 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:20,630 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:20,964 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:21,381 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:21,678 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:21,951 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:22,294 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:22,545 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:22,867 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:23,247 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:23,771 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:24,102 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:24,321 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:24,645 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:24,988 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:25,341 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:25,764 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:26,205 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:26,644 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:26,985 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:27,374 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:27,701 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:28,050 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:28,510 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:28,995 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:29,514 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:30,150 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:30,444 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:30,865 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:31,375 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:31,736 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:32,111 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:32,349 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:32,676 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:33,015 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:33,302 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:33,662 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:33,987 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:34,265 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:34,686 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:34,990 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:35,287 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:35,540 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:55:35,842 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
